2022-05-18 16:05:718 INFO  NewAndUsedCarSearchPage :64 - Click on find my next car[[ChromeDriver: chrome on WINDOWS (f06ed0b3d39a08635d629e31f4f963de)] -> id: search-submit]
2022-05-18 16:05:753 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:681 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:939 INFO  HomePage :36 - Click on Search Cars[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 16:05:66 INFO  NewAndUsedCarSearchPage :44 - Verify message[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 16:05:720 INFO  NewAndUsedCarSearchPage :48 - Select any Make[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> id: makes]
2022-05-18 16:05:97 INFO  NewAndUsedCarSearchPage :52 - Select model[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> id: models]
2022-05-18 16:05:289 INFO  NewAndUsedCarSearchPage :56 - Select address[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> id: locations]
2022-05-18 16:05:411 INFO  NewAndUsedCarSearchPage :60 - Select price[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> id: priceTo]
2022-05-18 16:05:566 INFO  NewAndUsedCarSearchPage :64 - Click on find my next car[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> id: search-submit]
2022-05-18 16:05:318 INFO  NewAndUsedCarSearchPage :68 - Verify message[[ChromeDriver: chrome on WINDOWS (598912b9dd843d0e50d919f235d94c5d)] -> id: uhf-make]
2022-05-18 16:05:143 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:10 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (f1f887c04a24abf2b4c35f1005761230)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:456 INFO  HomePage :36 - Click on Search Cars[[ChromeDriver: chrome on WINDOWS (f1f887c04a24abf2b4c35f1005761230)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 16:05:863 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 16:05:364 INFO  HomePage :31 - Mouse Hover On Buy And Sell[[ChromeDriver: chrome on WINDOWS (7fdd43e1cbdd44129d6efca01341a570)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 16:05:169 INFO  HomePage :36 - Click on Search Cars[[ChromeDriver: chrome on WINDOWS (7fdd43e1cbdd44129d6efca01341a570)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 16:05:296 INFO  NewAndUsedCarSearchPage :44 - Verify message[[ChromeDriver: chrome on WINDOWS (7fdd43e1cbdd44129d6efca01341a570)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 16:05:389 INFO  NewAndUsedCarSearchPage :48 - Select any Make[[ChromeDriver: chrome on WINDOWS (7fdd43e1cbdd44129d6efca01341a570)] -> id: makes]
